input,labels,input_len,preprocessed
A hurricane is coming,1,4,A hurricane is coming
The ink was made of the shop to celeblate the th anniversary .,0,13,The ink wa made of the shop to celeblate the th anniversary .
"I came to the office in a terrible form , hahahaha .",1,12,"I came to the office in a terrible form , hahahaha ."
"When I heard that , I came back to my house and I asked my father to drive me to the station of the another line .",0,27,"When I heard that , I came back to my house and I asked my father to drive me to the station of the another line ."
"If she would have a hard time and try to smile at everyone , even so , I would prefer a smile to look sad .",0,26,"If she would have a hard time and try to smile at everyone , even so , I would prefer a smile to look sad ."
"Egg benedict , again",1,4,"Egg benedict , again"
I think it is a serious problem .,1,8,I think it is a serious problem .
Thanks a lot !,0,4,Thanks a lot !
When did the two of my good friends become super close friends ?,0,13,When did the two of my good friend become super close friend ?
 - Practicum ,1,4, - Practicum 
They are really green deliverers .,1,6,They are really green deliverer .
And there is a lot of good food in my home town .,1,13,And there is a lot of good food in my home town .
I want MSN friends,1,4,I want MSN friend
"I love to walk in this area because of its good location , the widely known colonnade of Zelkova , high - sense fashion brand shops , many varied shops and cafes , etc .",1,35,"I love to walk in this area because of it good location , the widely known colonnade of Zelkova , high - sense fashion brand shop , many varied shop and cafe , etc ."
It is very difficult to completely stop getting mad or attacking others .,1,13,It is very difficult to completely stop getting mad or attacking others .
They can send to the address without a zip code .,1,11,They can send to the address without a zip code .
I am looking forward to reading lots of interesting stories .,1,11,I am looking forward to reading lot of interesting story .
There is a growing need for immigrant children to learn English as quickly as possible ,1,16,There is a growing need for immigrant child to learn English a quickly a possible 
My morning began at am .,1,6,My morning began at am .
"As I found new word , I am using .",0,10,"As I found new word , I am using ."
Do you know rock ?,1,5,Do you know rock ?
A daily exercise .,0,4,A daily exercise .
How can I help ?,1,5,How can I help ?
fits in my pocket,1,4,fit in my pocket
Be careful about heat injury,0,5,Be careful about heat injury
I go to the ESL twice a week now .,0,10,I go to the ESL twice a week now .
I uploaded the pictures .,0,5,I uploaded the picture .
I do not care about people is apperance so long as they wear neatly .,0,15,I do not care about people is apperance so long a they wear neatly .
I could understand it .,1,5,I could understand it .
I think that what is important .,0,7,I think that what is important .
After breakfast I went downtown to trade my daughter s shoes .,1,12,After breakfast I went downtown to trade my daughter s shoe .
I did not get any skills .,1,7,I did not get any skill .
If I become an English - holic .,1,8,If I become an English - holic .
 Photo on the central ,1,6, Photo on the central 
"I went to a shop to buy a long wire , but the shop has already closed .",0,18,"I went to a shop to buy a long wire , but the shop ha already closed ."
The exam is today at . pm .,1,8,The exam is today at . pm .
I like BOURNE series and Matt Damon .,0,8,I like BOURNE series and Matt Damon .
"Second , you should save water .",1,7,"Second , you should save water ."
"After your correction , I will upload the sentences here again , and hope you read the sentences in English so I can practice pronunciation .",1,26,"After your correction , I will upload the sentence here again , and hope you read the sentence in English so I can practice pronunciation ."
"I am not sure why but probably , I would hesitate to say it with my bad English .",1,19,"I am not sure why but probably , I would hesitate to say it with my bad English ."
It is very important to every Chinese person .,1,9,It is very important to every Chinese person .
say a word,1,3,say a word
Right employees with high education are much higher paid than general employees .,1,13,Right employee with high education are much higher paid than general employee .
At first I wanted enjoy delicious sea food at a good restaurant in Esashi .,0,15,At first I wanted enjoy delicious sea food at a good restaurant in Esashi .
"On the one hand , this holiday is too short for me to go home and I can no longer have a trip with my parents on New Year is day .",1,32,"On the one hand , this holiday is too short for me to go home and I can no longer have a trip with my parent on New Year is day ."
"His face is so sad , his eye is keep water .",0,12,"His face is so sad , his eye is keep water ."
I hope someday I will visit a lot of countries where I have never been .,0,16,I hope someday I will visit a lot of country where I have never been .
But that is OK .,0,5,But that is OK .
"I do nt know much about him , but I am sure that he is great enough to be a leader of the world .",1,25,"I do nt know much about him , but I am sure that he is great enough to be a leader of the world ."
But it is actually just the fact of worshiping invisible forces that are said to inhabit nature .,0,18,But it is actually just the fact of worshiping invisible force that are said to inhabit nature .
